Age,Gender,Stream,ssc_p,hsc_p,Hostel,HistoryOfBacklogs,Internships,CGPA,PlacedOrNot
22,Male,Electronics And Communication,67,91,1,1,1,8,1
21,Female,Computer Science,79.33,78.33,1,1,0,7,1
22,Female,Information Technology,65,68,0,0,1,6,1
21,Male,Information Technology,56,52,0,1,0,8,1
22,Male,Mechanical,85.8,73.6,1,0,0,8,1
22,Male,Electronics And Communication,55,49.8,0,0,0,6,0
21,Male,Computer Science,46,49.2,0,1,0,7,0
21,Male,Information Technology,82,64,0,0,1,7,0
21,Male,Computer Science,73,79,0,0,2,6,1
21,Female,Computer Science,58,70,1,0,1,6,0
22,Male,Computer Science,58,61,0,0,1,7,0
22,Female,Electrical,69.6,68.4,0,1,1,8,1
21,Female,Computer Science,47,55,1,1,2,6,0
21,Male,Computer Science,77,87,0,1,1,8,1
21,Female,Electronics And Communication,62,47,0,0,2,8,1
22,Male,Mechanical,65,75,1,0,0,8,1
22,Female,Computer Science,63,66.2,1,0,1,7,0
21,Male,Civil,55,67,0,0,0,6,0
21,Male,Computer Science,63,66,0,0,1,7,0
22,Male,Computer Science,60,67,0,0,1,7,0
22,Male,Civil,62,65,0,0,0,8,1
21,Male,Computer Science,79,76,0,0,1,6,0
22,Male,Civil,69.8,60.8,0,0,0,7,0
22,Male,Electronics And Communication,77.4,60,0,1,1,7,0
22,Male,Electronics And Communication,76.5,97.7,0,0,0,7,0
21,Male,Electrical,52.58,54.6,1,0,0,8,1
22,Male,Electrical,71,79,0,0,1,8,1
22,Male,Information Technology,63,67,0,0,1,8,1
22,Male,Information Technology,76.76,76.5,0,0,1,8,1
21,Male,Information Technology,62,67,0,0,0,6,1
22,Male,Mechanical,64,73.5,1,0,1,8,1
21,Male,Electrical,67,53,0,0,1,7,1
21,Female,Civil,61,81,0,0,1,7,0
21,Male,Electrical,87,65,0,0,0,7,0
21,Male,Computer Science,62,51,0,0,1,6,1
21,Male,Information Technology,69,78,0,0,1,6,0
22,Male,Civil,51,44,0,0,0,7,1
22,Male,Computer Science,79,76,0,0,1,8,1
22,Male,Information Technology,73,58,0,0,1,6,0
22,Male,Electronics And Communication,81,68,0,1,0,8,1
22,Male,Electrical,78,77,0,1,1,6,0
22,Male,Civil,74,63.16,1,0,0,8,1
21,Male,Electrical,49,39,1,1,1,7,1
21,Male,Electrical,87,87,0,0,1,7,1
22,Female,Information Technology,77,73,0,0,2,8,1
21,Female,Electronics And Communication,76,64,0,0,3,6,1
22,Male,Computer Science,70.89,71.98,0,0,1,8,1
21,Male,Electronics And Communication,63,60,0,1,1,7,1
21,Male,Information Technology,63,62,0,0,2,7,1
21,Female,Electronics And Communication,50,37,0,0,0,7,0
22,Male,Electronics And Communication,75.2,73.2,0,0,0,8,1
21,Male,Electrical,54.4,61.12,0,0,1,8,1
21,Female,Computer Science,40.89,45.83,1,0,1,8,1
21,Male,Electrical,80,70,1,1,3,6,0
21,Female,Electronics And Communication,74,60,0,0,3,6,1
21,Male,Computer Science,60.4,66.6,0,0,1,7,1
21,Male,Electronics And Communication,63,71.4,0,0,0,8,1
21,Male,Civil,68,76,0,0,0,8,1
21,Male,Electronics And Communication,74,62,0,0,0,8,1
21,Female,Electrical,52.6,65.58,0,0,1,8,1
21,Male,Computer Science,74,70,0,1,2,9,1
22,Male,Computer Science,84.2,73.4,0,0,0,8,1
21,Male,Information Technology,86.5,64.2,0,0,0,8,1
21,Male,Information Technology,61,70,0,0,0,9,1
21,Male,Information Technology,80,73,1,0,1,8,1
22,Male,Mechanical,54,47,0,0,0,9,1
22,Male,Computer Science,83,74,0,0,1,9,1
21,Male,Information Technology,80.92,78.5,0,0,0,8,1
22,Male,Computer Science,69.7,47,0,0,2,9,1
21,Male,Mechanical,73,73,1,1,0,8,1
22,Male,Electrical,82,61,0,0,1,8,1
22,Male,Information Technology,75,70.29,0,0,0,9,1
22,Male,Computer Science,84.86,67,0,0,3,9,1
21,Male,Information Technology,64.6,83.83,0,0,0,8,1
22,Male,Information Technology,56.6,64.8,0,0,1,9,1
21,Male,Civil,59,62,0,0,0,8,1
21,Male,Mechanical,66.5,70.4,1,0,0,9,1
22,Male,Mechanical,64,80,1,1,0,8,1
22,Male,Information Technology,84,90.9,0,0,0,8,1
21,Male,Computer Science,69,62,0,0,1,8,1
21,Male,Civil,69,62,0,0,0,9,1
21,Male,Computer Science,81.7,63,0,0,1,9,1
22,Male,Mechanical,63,67,1,0,0,8,1
21,Male,Information Technology,84,79,0,0,0,8,1
21,Male,Mechanical,70,63,1,0,0,8,1
21,Male,Electronics And Communication,83.84,89.83,0,0,2,7,1
21,Male,Computer Science,62,63,0,0,0,8,1
21,Male,Computer Science,59.6,51,0,0,0,6,0
22,Female,Civil,66,62,1,0,1,6,0
22,Male,Mechanical,84,75,0,0,1,7,0
21,Male,Civil,85,90,0,1,1,8,1
22,Male,Information Technology,52,57,0,0,1,6,1
21,Male,Electrical,60.23,69,0,0,1,6,1
22,Female,Information Technology,52,62,0,0,2,7,0
22,Male,Electronics And Communication,58,62,0,0,0,6,0
22,Male,Computer Science,73,78,0,0,1,8,1
21,Male,Computer Science,76,70,0,0,2,7,0
22,Male,Information Technology,70.5,62.5,0,0,0,8,1
22,Female,Information Technology,69,73,0,0,0,7,0
21,Male,Mechanical,54,82,0,0,0,7,0
23,Male,Computer Science,45,57,0,0,0,7,1
23,Male,Civil,63,72,0,0,0,6,1
23,Male,Mechanical,77,61,0,0,1,5,0
24,Male,Information Technology,73,78,0,0,2,6,1
23,Male,Electrical,69,63,1,0,0,5,0
23,Male,Information Technology,59,64,0,0,1,6,0
24,Female,Information Technology,61.08,50,0,0,0,6,1
24,Male,Information Technology,82,90,0,0,1,7,1
24,Male,Civil,61,82,0,1,1,7,1
23,Male,Information Technology,52,63,0,0,1,7,1
23,Male,Information Technology,69.5,70,0,0,1,6,1
24,Male,Electronics And Communication,51,54,0,1,1,6,1
24,Male,Electrical,58,61,0,0,0,7,0
23,Male,Information Technology,73.96,79,0,0,1,6,0
24,Male,Computer Science,65,68,0,0,0,6,1
23,Male,Electrical,73,63,0,0,0,6,0
23,Male,Information Technology,68.2,72.8,1,0,1,7,1
23,Male,Information Technology,77,75,1,0,1,7,1
24,Male,Information Technology,76,80,0,1,3,5,1
23,Male,Mechanical,60.8,68.4,1,0,0,6,1
23,Female,Information Technology,58,40,0,0,2,6,1
23,Male,Electronics And Communication,64,67,0,0,1,7,0
23,Male,Information Technology,66.5,66.8,0,0,1,5,1
23,Male,Information Technology,74,59,0,0,1,7,1
23,Male,Mechanical,67,71,1,0,2,7,1
24,Male,Information Technology,84,73,0,0,1,5,0
24,Male,Information Technology,79,61,0,0,1,7,0
24,Male,Computer Science,72,60,0,0,2,7,1
24,Male,Electronics And Communication,80.4,73.4,0,0,0,5,0
24,Male,Information Technology,76.7,89.7,0,0,1,7,1
23,Male,Mechanical,62,65,1,1,0,6,1
23,Male,Computer Science,74.9,57,0,0,0,6,0
23,Female,Mechanical,67,68,1,0,1,7,0
24,Male,Computer Science,73,64,0,0,1,6,1
23,Male,Mechanical,77.44,92,1,1,1,6,1
24,Male,Computer Science,72,56,0,0,0,6,1
24,Male,Mechanical,47,59,0,0,0,6,1
24,Male,Information Technology,67,63,0,0,0,5,1
23,Male,Electrical,82,64,0,0,0,5,0
24,Male,Electrical,77,70,1,0,0,5,0
23,Male,Computer Science,65,64.8,0,0,1,5,1
23,Male,Electronics And Communication,66,64,0,0,0,7,1
24,Male,Information Technology,85,60,0,0,3,7,1
24,Male,Computer Science,77.67,64.89,0,0,2,5,1
24,Male,Computer Science,52,50,0,0,2,5,1
23,Male,Civil,89.4,65.66,1,0,0,7,1
24,Male,Information Technology,62,63,0,0,1,6,1
23,Male,Mechanical,70,74,1,1,0,5,0
23,Male,Electrical,77,86,0,0,0,6,0
24,Male,Computer Science,44,58,0,0,1,7,1
23,Male,Electrical,71,58.66,0,0,0,5,0
24,Female,Information Technology,65,65,0,0,0,5,0
23,Male,Computer Science,75.4,60.5,0,0,1,5,1
23,Female,Electronics And Communication,49,59,0,0,2,6,0
24,Male,Civil,53,63,0,0,0,7,1
24,Male,Electronics And Communication,51.57,74.66,0,0,2,6,1
23,Male,Information Technology,84.2,69.4,0,0,0,5,0
24,Male,Computer Science,66.5,62.5,0,0,2,6,1
23,Male,Computer Science,67,63,0,0,1,6,0
24,Male,Computer Science,52,49,0,1,0,7,1
22,Male,Electronics And Communication,87,74,0,0,0,7,1
22,Male,Mechanical,55.6,51,1,0,0,5,0
22,Male,Computer Science,74.2,87.6,0,0,1,5,0
21,Male,Computer Science,63,67,0,0,1,6,1
21,Male,Civil,67.16,72.5,1,0,3,6,1
21,Male,Computer Science,63.3,78.33,0,1,0,6,1
21,Male,Electrical,62,62,0,0,0,5,0
21,Female,Information Technology,67.9,62,0,0,1,6,0
22,Male,Computer Science,48,51,0,0,1,5,0
22,Male,Computer Science,59.96,42.16,0,0,1,5,0
21,Male,Civil,63.4,67.2,0,0,1,6,1
21,Female,Information Technology,80,80,0,0,2,5,0
21,Male,Information Technology,73,58,0,0,1,6,1
22,Male,Civil,52,52,0,0,0,6,0
22,Male,Civil,73.24,50.83,0,1,0,7,0
21,Male,Information Technology,63,62,0,0,0,7,1
21,Male,Electronics And Communication,59,60,0,0,0,7,1
22,Female,Information Technology,73,97,1,0,1,7,0
22,Male,Electrical,68,56,0,0,1,6,1
21,Female,Mechanical,77.8,64,1,0,1,5,0
22,Female,Information Technology,65,71.5,1,0,1,6,0
22,Male,Computer Science,62,60.33,0,0,2,6,1
21,Male,Electronics And Communication,52,65,0,1,1,6,0
22,Male,Civil,65,77,0,0,0,5,0
21,Male,Electrical,56.28,62.83,0,1,2,5,0
22,Male,Civil,88,72,0,0,1,7,0
21,Female,Computer Science,52,64,1,0,1,7,0
21,Male,Computer Science,78.5,65.5,0,0,1,6,0
22,Female,Electronics And Communication,61.8,47,1,0,1,5,0
21,Female,Information Technology,54,77.6,0,0,0,6,0
22,Male,Computer Science,64,70.2,0,0,0,5,0
22,Male,Computer Science,67,61,0,0,0,5,0
21,Male,Mechanical,65.2,61.4,1,0,0,7,0
21,Male,Computer Science,60,63,0,0,0,5,0
21,Male,Information Technology,52,55,0,1,0,5,0
22,Female,Computer Science,66,76,1,0,1,5,0
21,Male,Electronics And Communication,72,63,1,1,2,6,0
21,Male,Information Technology,83.96,53,1,1,1,5,0
22,Female,Computer Science,67,70,1,0,2,7,0
21,Male,Computer Science,69,65,0,0,0,8,1
21,Male,Computer Science,69,60,0,0,2,7,1
22,Male,Computer Science,54.2,63,0,0,1,6,0
21,Female,Information Technology,70,63,1,0,2,6,1
21,Male,Electronics And Communication,55.68,61.33,0,0,1,7,0
21,Female,Computer Science,74,73,1,0,1,7,0
21,Male,Mechanical,61,62,1,0,0,8,1
22,Male,Mechanical,41,42,1,0,0,8,1
22,Male,Information Technology,83.33,78,0,0,1,6,0
21,Female,Electrical,43,60,0,0,0,7,0
21,Male,Mechanical,62,72,0,0,0,8,1
21,Male,Computer Science,80.6,82,0,0,2,8,1
21,Male,Information Technology,58,60,0,0,1,7,0
22,Male,Information Technology,67,67,0,1,0,6,0
22,Male,Information Technology,74,66,0,0,1,8,1
21,Male,Electrical,62,58,0,0,1,7,1
21,Female,Civil,62.83,78,0,0,1,6,0
21,Male,Computer Science,72,91,0,0,3,6,1
21,Male,Civil,64,78.33,1,0,1,7,0
22,Male,Electrical,65.5,68,0,0,1,7,0
21,Male,Electronics And Communication,47,52,1,1,2,6,0
22,Male,Electrical,77.6,73.6,0,1,1,8,1
22,Male,Computer Science,70.2,49.8,0,0,2,8,1
21,Male,Mechanical,61,49.2,1,1,1,6,0
22,Male,Computer Science,61.4,64,0,0,0,7,0
22,Male,Civil,63,79,0,0,0,6,0
21,Male,Civil,55,70,1,0,0,6,0
21,Female,Computer Science,76,61,1,0,1,7,0
21,Male,Computer Science,63,68.4,0,0,2,7,1
21,Female,Mechanical,53,55,1,0,1,6,0
22,Male,Mechanical,70,87,1,0,0,6,0
22,Male,Electronics And Communication,65,47,0,0,1,8,1
22,Male,Computer Science,60,75,0,0,1,8,1
21,Female,Information Technology,63,66.2,0,0,0,8,1
22,Male,Information Technology,63,67,0,0,1,7,0
21,Male,Information Technology,61.33,66,0,1,0,8,1
22,Male,Computer Science,73,67,0,0,1,8,1
22,Male,Computer Science,62,65,0,0,1,7,0
21,Female,Information Technology,42,76,0,0,2,7,1
21,Female,Mechanical,78,60.8,1,0,1,8,1
21,Female,Computer Science,60,60,1,0,1,6,0
22,Female,Information Technology,72,97.7,0,0,1,7,0
22,Female,Computer Science,82,54.6,1,0,0,6,0
21,Male,Information Technology,60,79,1,0,2,8,1
22,Male,Civil,67,67,1,1,0,7,0
21,Male,Electrical,66,76.5,0,0,1,6,0
21,Male,Electronics And Communication,58,67,0,0,2,6,1
21,Male,Mechanical,78,73.5,1,0,1,7,0
22,Male,Civil,91,53,0,0,0,7,0
22,Female,Electrical,78.33,81,0,0,1,6,0
22,Male,Computer Science,68,65,0,0,0,8,1
21,Male,Computer Science,52,51,0,0,3,8,1
21,Female,Information Technology,73.6,78,0,1,0,8,1
22,Male,Electronics And Communication,49.8,44,0,0,0,6,0
22,Male,Civil,49.2,76,0,0,1,7,0
22,Male,Information Technology,64,58,1,1,1,8,1
22,Female,Computer Science,79,68,1,1,1,8,1
22,Male,Mechanical,70,77,1,0,1,8,1
21,Male,Electrical,61,63.16,0,0,2,6,1
22,Male,Electronics And Communication,68.4,39,0,0,1,6,0
22,Male,Information Technology,55,87,0,0,0,8,1
22,Female,Computer Science,87,73,1,0,1,7,0
21,Male,Information Technology,47,64,0,0,1,8,1
21,Male,Electrical,75,71.98,0,0,1,7,1
22,Male,Mechanical,66.2,60,1,1,0,8,1
21,Male,Civil,67,62,0,0,0,6,0
21,Male,Information Technology,66,37,0,0,1,6,0
21,Female,Information Technology,67,73.2,0,0,1,8,1
22,Male,Electronics And Communication,65,61.12,1,1,1,8,1
21,Male,Civil,76,45.83,0,0,1,7,0
22,Male,Information Technology,60.8,70,0,0,2,6,1
21,Male,Electrical,60,60,1,0,0,6,0
22,Male,Information Technology,97.7,66.6,1,1,1,7,0
21,Male,Electronics And Communication,54.6,71.4,0,0,0,6,0
22,Male,Computer Science,79,76,0,1,0,8,1
21,Male,Electronics And Communication,67,62,0,0,1,7,0
22,Male,Mechanical,76.5,65.58,1,0,0,6,0
21,Male,Civil,67,70,0,0,0,7,0
21,Female,Civil,73.5,73.4,1,0,1,7,0
21,Male,Computer Science,53,64.2,0,0,1,7,0
21,Male,Information Technology,81,70,0,1,0,6,1
21,Female,Electronics And Communication,65,73,0,0,2,7,1
22,Female,Mechanical,51,47,1,0,1,8,1
21,Male,Mechanical,78,74,1,1,0,6,1
21,Male,Civil,44,78.5,1,0,0,7,1
22,Male,Electronics And Communication,76,47,0,0,0,8,1
21,Male,Electronics And Communication,58,73,1,1,1,6,1
21,Male,Mechanical,68,61,1,0,2,6,0
22,Male,Computer Science,77,70.29,0,0,0,8,1
21,Male,Civil,63.16,67,0,0,0,7,0
22,Male,Information Technology,39,83.83,0,0,0,7,0
22,Male,Computer Science,87,64.8,0,0,0,7,0
22,Male,Civil,73,62,1,0,1,6,0
22,Female,Computer Science,64,70.4,1,1,2,6,0
22,Male,Electronics And Communication,71.98,80,0,0,0,7,1
21,Male,Civil,60,90.9,0,0,0,8,1
21,Male,Civil,62,62,0,0,0,8,1
22,Male,Computer Science,37,62,0,0,2,6,1
22,Male,Computer Science,73.2,63,0,0,2,7,1
22,Male,Electronics And Communication,61.12,67,1,1,1,7,1
21,Male,Information Technology,45.83,79,0,0,2,7,1
22,Male,Civil,70,63,0,0,0,6,0
22,Male,Civil,60,89.83,0,0,1,6,1
21,Male,Electronics And Communication,66.6,63,0,0,0,7,0
21,Male,Information Technology,71.4,51,0,0,0,7,1
22,Male,Electronics And Communication,76,62,0,0,1,8,1
22,Male,Computer Science,62,75,0,1,0,6,0
22,Male,Electrical,65.58,90,0,1,2,8,1
22,Male,Information Technology,70,57,0,1,0,6,1
22,Female,Computer Science,73.4,69,1,0,1,6,1
21,Male,Electrical,64.2,62,0,0,0,8,1
21,Male,Computer Science,70,62,0,0,1,7,1
22,Male,Information Technology,73,78,0,1,2,7,1
22,Female,Computer Science,47,70,1,0,1,8,1
22,Male,Civil,74,62.5,0,0,0,6,1
22,Male,Mechanical,78.5,73,1,0,0,6,1
22,Male,Civil,47,82,0,0,0,7,0
